{topLeft:{x:   8, y: 122}, bottomRight:{x:   8, y: 123}}
{topLeft:{x:  21, y: 123}, bottomRight:{x:  21, y: 124}}
{topLeft:{x:  27, y: 124}, bottomRight:{x:  27, y: 125}}
{topLeft:{x:  33, y: 125}, bottomRight:{x:  33, y: 126}}
{topLeft:{x:  10, y: 126}, bottomRight:{x:  10, y: 127}}
{topLeft:{x:  40, y: 126}, bottomRight:{x:  40, y: 127}}
{topLeft:{x:  46, y: 127}, bottomRight:{x:  46, y: 128}}
{topLeft:{x:  52, y: 128}, bottomRight:{x:  52, y: 129}}
{topLeft:{x:  64, y: 129}, bottomRight:{x:  64, y: 130}}
{topLeft:{x:  70, y: 130}, bottomRight:{x:  70, y: 131}}
{topLeft:{x:  77, y: 131}, bottomRight:{x:  77, y: 132}}
{topLeft:{x:  79, y: 132}, bottomRight:{x:  79, y: 133}}
{topLeft:{x:  80, y: 133}, bottomRight:{x:  80, y: 134}}
{topLeft:{x:  75, y: 219}, bottomRight:{x:  75, y: 220}}
{topLeft:{x:  76, y: 255}, bottomRight:{x:  76, y: 256}}
{topLeft:{x:  60, y: 290}, bottomRight:{x:  60, y: 291}}
{topLeft:{x:  32, y: 291}, bottomRight:{x:  32, y: 292}}
{topLeft:{x:  84, y: 291}, bottomRight:{x:  84, y: 292}}
{topLeft:{x:  16, y: 292}, bottomRight:{x:  16, y: 293}}
{topLeft:{x:  43, y: 292}, bottomRight:{x:  43, y: 293}}
